"numinSet","sample","Run","fullnum","ICP.run","ICP.runnum","run.date","SampleWeight","B11","Na23","Mg26","Al27","P31","S34","K39","Ca44","Fe54","Mn55","Co59","Ni60","Cu63","Zn66","As75","Se78","Rb85","Sr88","Mo98","Cd111","genotype","treatment","replicate"
212,"G18_C_4",230,230,1,230,"06:13:49 Fri 01-Sep-23",96.2,13.82968569,2.935771252,3813.727005,0.869321885,2773.671051,313929.5661,76239.1333,3740.010814,61.06302601,190.9468648,0.003319445,0.032733871,12.68127349,17.329547,0.082787856,2.032989079,34.55239511,15.93999541,7.544614214,0.022680168,"G18","C","4"
220,"G3_N_4",242,242,1,242,"06:59:59 Fri 01-Sep-23",124,9.816159769,1.515266105,3493.800981,1.745620269,1976.985558,149215.712,58449.22153,2540.699101,31.44056901,143.7661369,0.00281785,0.028457188,4.828060671,24.44994577,0.093182324,1.407010497,21.70227988,12.42769202,2.969251138,0.019870527,"G3","N","4"
17,"G3_C_2",19,299,2,19,"15:29:27 Tue 12-Sep-23",140.7,29.82684939,4.895084481,2573.437929,1.653140502,5030.891103,125520.0682,47449.20069,1116.188866,56.40415599,56.16025066,0.003691711,0.050044028,7.006403932,12.31666084,0.187597779,1.340914261,22.43829444,8.502464891,1.178713084,0.009913163,"G3","C","2"
24,"G3_N_1",27,307,2,27,"16:00:23 Tue 12-Sep-23",88.2,12.52621244,2.352570897,3753.680562,1.759352146,3357.10725,197628.1087,68304.68589,2562.379937,44.76841211,143.6985241,0.006471547,0.03642257,6.952213406,18.50268484,0.410395278,1.443778121,22.07753032,18.42872831,2.365550486,0.021041856,"G3","N","1"
30,"G3_C_1",35,315,2,35,"16:31:20 Tue 12-Sep-23",121.6,36.1998613,3.853986676,3713.313767,1.836023374,4139.277737,253967.3271,56999.84854,2132.765017,77.22087012,98.75634434,0.005621631,0.091725713,9.325341061,17.74848243,0.177751122,1.645003087,29.13980675,13.68191888,2.346197161,0.019541452,"G3","C","1"
25,"G3_N_3",40,320,2,40,"16:50:39 Tue 12-Sep-23",84.1,18.67605874,2.105372657,4139.34596,1.614345245,3010.020285,273802.8687,64042.13303,3303.90857,45.5974369,149.3093526,0.00531958,0.041735784,6.948188901,18.07081972,0.337633453,1.27811434,22.37054557,22.84942327,3.178632633,0.022413367,"G3","N","3"
44,"G3_N_2",49,329,2,49,"17:25:30 Tue 12-Sep-23",144.5,15.19570567,3.702210591,1683.674016,1.971038948,5685.866294,61709.50145,53347.32209,916.9508673,31.05049834,73.75850809,0.003530323,0.072575997,4.648955615,11.08697751,0.076240417,2.333393876,19.15831166,4.85773462,0.732555056,0.006126593,"G3","N","2"
55,"G3_C_4",60,340,2,60,"18:07:45 Tue 12-Sep-23",100.6,31.60821615,4.867891971,5651.943806,9.127115947,5555.422364,529122.127,168820.7246,3850.884967,192.0943524,166.0084228,0.01375153,0.439063446,18.56963363,27.88100685,0.065638228,5.034189732,93.76729851,20.60139626,1.100977127,0.018986392,"G3","C","4"
14,"G8_C_3",16,357,3,16,"18:58:05 Fri 15-Sep-23",71.3,14.47226025,0.675219747,3760.019884,2.258363792,1713.284677,242016.6389,52499.74535,3987.028081,55.82466602,158.8010255,0.001203167,0.050127627,8.430610305,9.6902533,0.1842946,1.574046987,24.79277383,25.78375998,4.229567462,0.01710693,"G8","C","3"
24,"G8_N_4",27,368,3,27,"19:40:39 Fri 15-Sep-23",83.7,8.062577636,1.682059785,4535.21925,8.056140194,1515.561613,270961.9214,60786.64388,4648.685836,28.02122947,179.5532132,0.001886437,0.069248401,4.299671398,5.974055331,0.277280814,1.058725702,21.75449213,34.60989814,2.5318984,0.014354887,"G8","N","4"
33,"G8_C_4",32,373,3,32,"20:00:01 Fri 15-Sep-23",150.2,38.66112994,1.24084281,2949.260084,1.042219898,1640.113769,129678.6857,59686.15958,2801.936754,50.15285011,137.8526459,0.001399341,0.037501304,8.708419342,14.36767828,0.086495432,1.208470216,26.95760537,16.92755959,2.904517297,0.009213515,"G8","C","4"
26,"G18_C_5",39,380,3,39,"20:27:05 Fri 15-Sep-23",127.4,17.42041043,0.80552311,3319.582261,0.98619535,1350.99758,323157.5484,81832.30205,2744.732268,47.30931687,104.0585557,0.001712815,0.032645832,10.31226403,10.05946404,0.037406868,1.171431019,35.0613841,14.07830849,4.363156627,0.021282496,"G18","C","5"
57,"G8_C_1",58,399,3,58,"21:40:37 Fri 15-Sep-23",147.5,31.15168526,1.352300302,3179.033569,1.311839188,1805.956895,91654.55715,69902.54285,2602.688235,53.42767219,149.418016,0.001282108,0.03540579,9.707672813,10.69702201,0.066456635,1.093388978,30.56449091,17.77650549,2.62483537,0.010661913,"G8","C","1"
54,"G18_C_1",62,403,3,62,"21:56:07 Fri 15-Sep-23",96.4,44.63774474,0.835252665,4389.777687,3.89265365,1788.239285,420666.4529,65131.54537,3772.448776,67.50394264,189.8264438,0.003560554,0.049551536,14.13818556,16.21718331,0.029098709,1.070319324,32.44619485,18.16730975,8.05705548,0.031479941,"G18","C","1"
50,"G18_C_2",66,407,3,66,"22:11:33 Fri 15-Sep-23",147.1,29.49108643,1.071431076,4100.416964,1.531804012,1976.425823,422283.535,89344.5016,3901.085902,56.78316497,149.3260603,0.001734932,0.045708463,12.33127593,14.61181667,0.029964766,1.142982431,40.90002172,18.24955941,6.899569986,0.020219713,"G18","C","2"
64,"G13_C_2",72,413,3,72,"22:34:46 Fri 15-Sep-23",149.2,26.17435884,1.492437632,2455.288169,1.254927787,1755.178171,145628.0439,81841.0723,2733.392212,48.71256254,122.7179049,0.001144567,0.043231476,8.988632459,11.630798,0.068664285,1.289401127,39.38291397,18.89934911,2.696898729,0.006722572,"G13","C","2"
81,"G13_N_2",85,426,3,85,"23:25:02 Fri 15-Sep-23",70.2,10.57688191,1.101259419,3570.152677,1.420396571,2472.076959,140088.67,68451.31965,4311.106692,38.12284034,224.9893755,0.001901515,0.057878531,6.799354433,22.88421154,0.243906383,1.544178465,22.30728558,22.88949745,4.182118866,0.012365507,"G13","N","2"
78,"G13_N_4",88,429,3,88,"23:36:39 Fri 15-Sep-23",80.4,15.21497936,1.91688576,3588.066749,1.302708856,2884.26103,190279.134,73487.65543,5427.076689,45.603474,240.8703922,0.003416764,0.055686908,7.436910293,44.01881621,0.198872626,0.971073904,23.94137872,26.72578431,4.414132291,0.015617671,"G13","N","4"
86,"G13_C_4",96,437,3,96,"00:07:35 Sat 16-Sep-23",92.2,25.55543911,1.625686393,2673.059955,1.196537526,1739.467349,151279.9965,63803.78498,3432.174933,52.36847214,128.5974876,0.001437025,0.05225123,8.613643594,9.319943037,0.040614233,1.43015876,34.33696417,21.48740557,2.856617531,0.008688994,"G13","C","4"
97,"G8_N_2",120,461,3,120,"01:39:39 Sat 16-Sep-23",93.1,5387.739689,815.4082498,12670.76999,555.562671,4251347.567,7924341632,66109.07929,7040.332757,3402.142745,245.5456376,0.248617192,14.69807821,117.3992755,441.9067673,0.319962523,255.4868937,21.22927359,21.92811723,12.62739756,0.101184671,"G8","N","2"
109,"G13_N_3",122,463,3,122,"01:47:10 Sat 16-Sep-23",80.1,12.93788312,1.876035804,3248.08208,1.293106118,1908.28547,200079.8229,76544.91249,4387.388961,32.4371604,223.184839,0.00170212,0.066601262,6.317250125,9.419869989,0.168773334,0.6622304,25.71035267,33.52145665,3.1127389,0.019927127,"G13","N","3"
112,"G13_C_1",125,466,3,125,"01:58:46 Sat 16-Sep-23",231,22.80684006,0.916376294,2085.945532,0.766782709,4818.572717,53546.55371,85962.95315,1619.34854,53.13535321,92.94956104,0.001054295,0.040381925,9.187844586,20.9447127,0.088165242,2.103971429,37.31463485,7.887262082,1.806592807,0.006592555,"G13","C","1"
118,"G8_C_2",132,473,3,132,"02:25:49 Sat 16-Sep-23",177.7,41.4830214,1.784698977,3046.458189,1.078671892,1667.791596,118953.5615,84873.26499,3098.150225,52.10199026,133.1631091,0.001314773,0.046964896,8.366941816,10.36017648,0.040437674,1.347454548,35.55820335,15.96424978,2.295010375,0.008428246,"G8","C","2"
123,"G13_N_1",145,486,3,145,"03:16:03 Sat 16-Sep-23",78.3,25.53741546,1.462126402,3587.645396,1.450461604,2104.287899,173069.381,82525.83987,4472.890742,39.95776758,232.7135526,0.001801546,0.060982139,7.413689331,9.374219864,0.077350284,0.56102937,25.03679405,27.47981878,3.549154638,0.013467857,"G13","N","1"
121,"G8_N_1",147,488,3,147,"03:23:48 Sat 16-Sep-23",169.4,22.02259802,0.757021612,3524.466345,1.250896128,3927.76402,116789.2468,83077.6699,3853.355694,35.98522904,173.5703862,0.001534164,0.046011937,5.331206144,10.48190901,0.121714042,2.026821601,21.18848554,19.35134025,3.708001936,0.015445698,"G8","N","1"
165,"G8_N_3",184,525,3,184,"05:46:53 Sat 16-Sep-23",89.3,12.04401035,0.796602847,4294.276742,1.445722138,3578.669249,39126.03206,61756.95238,4979.478185,36.55118394,248.4383197,0.001630128,0.049694104,5.190930608,10.34760209,0.14729002,1.713519518,18.83111726,25.85035436,4.346171604,0.010211123,"G8","N","3"
227,"G13_C_3",253,594,3,253,"10:13:00 Sat 16-Sep-23",90.7,18.31047567,2.040174395,2616.277087,1.97628692,1429.105458,104549.586,62373.55361,2947.245361,51.17703191,122.3991468,0.001101131,0.042842979,8.428904386,8.651358637,0.0963534,1.555225833,31.46147734,15.20187671,2.581052785,0.013269367,"G13","C","3"
